playerID,year,SeasonsPlayed,Games,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,StolenBases,CaughtStealing,Walks,Strikeouts,IntentionalWalks,HitsByPitch,SacrificeHits,SacrificeFlies,GroundedIntoDoublePlays,BattingAverage,OnBasePercentage,SluggingPercentage,isArbitrationEligible,isFreeAgent,year_salary,teamID,salary,LogSalary,LogSalaryDifference,SalaryRatio
abbotje01,1998,0,89,244,33,68,14,1,12,41.0,3.0,3.0,9,28.0,1.0,0.0,2.0,5.0,2.0,0.2786885245901639,0.29844961240310075,0.4918032786885246,False,False,1999,CHA,255000,5.4065401804339555,-0.013658065459830837,0.969040513927251
abbotje01,2000,1,80,215,31,59,15,1,3,29.0,2.0,1.0,21,38.0,1.0,2.0,2.0,1.0,2.0,0.2744186046511628,0.34309623430962344,0.3953488372093023,False,False,2001,FLO,300000,5.477121254719663,-0.0007781964015656229,0.998209740995167
abbotku01,1994,0,101,345,41,86,17,3,9,33.0,3.0,0.0,16,98.0,1.0,5.0,3.0,2.0,5.0,0.2492753623188406,0.2907608695652174,0.39420289855072466,False,False,1995,FLO,119000,5.075546961392531,0.6933189677341227,4.935361486735465
abbotku01,1995,1,120,420,60,107,18,7,17,60.0,4.0,3.0,36,110.0,4.0,5.0,2.0,5.0,6.0,0.25476190476190474,0.31759656652360513,0.4523809523809524,False,False,1996,FLO,250000,5.3979400086720375,0.38716053322441013,2.4387121007610286
abbotku01,1996,2,109,320,37,81,18,7,8,33.0,3.0,3.0,22,99.0,1.0,3.0,4.0,0.0,7.0,0.253125,0.3072463768115942,0.428125,False,False,1997,FLO,650000,5.812913356642856,-0.19528356425020466,0.6378468803142606
abbotku01,1997,3,94,252,35,69,18,2,6,30.0,3.0,1.0,14,68.0,3.0,1.0,6.0,0.0,5.0,0.27380952380952384,0.3146067415730337,0.43253968253968256,True,False,1998,OAK,1000000,6.0,0.07897008228876867,1.199416674796431
abbotku01,1999,4,96,286,41,78,17,2,8,41.0,3.0,2.0,16,69.0,0.0,0.0,2.0,1.0,4.0,0.2727272727272727,0.3102310231023102,0.43006993006993005,True,False,2000,NYN,500000,5.698970004336019,0.3945493210125459,2.480557628279044
abbotku01,2000,5,79,157,22,34,7,1,6,12.0,1.0,1.0,14,51.0,2.0,1.0,0.0,1.0,2.0,0.21656050955414013,0.2832369942196532,0.3885350318471338,True,False,2001,ATL,600000,5.778151250383644,0.18531597629254826,1.5322018285351229
abernbr01,2001,0,79,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0,0.26973684210526316,0.32831325301204817,0.3815789473684211,False,False,2002,TBA,215000,5.332438459915605,0.23965858197729162,1.7364352038278055
abernbr01,2002,1,117,463,46,112,18,4,2,40.0,10.0,4.0,25,46.0,0.0,6.0,8.0,2.0,8.0,0.24190064794816415,0.28830645161290325,0.31101511879049676,False,False,2003,TBA,300000,5.477121254719663,0.13765291127178436,1.3729442775355691
abnersh01,1990,0,91,184,17,45,9,0,1,15.0,2.0,3.0,9,28.0,1.0,2.0,2.0,1.0,3.0,0.24456521739130435,0.2857142857142857,0.30978260869565216,False,False,1991,SDN,180000,5.2552725051033065,-0.03188372490597935,0.9292151353122124
abreubo01,1997,0,59,188,22,47,10,2,3,26.0,7.0,2.0,21,48.0,0.0,1.0,0.0,0.0,0.0,0.25,0.32857142857142857,0.3723404255319149,False,False,1998,PHI,180000,5.2552725051033065,0.24640032900989262,1.7636009699544504
abreubo01,1998,1,151,497,68,155,29,6,17,74.0,19.0,10.0,84,133.0,14.0,0.0,4.0,4.0,6.0,0.3118712273641851,0.40854700854700854,0.4969818913480885,False,False,1999,PHI,400000,5.6020599913279625,0.21732941142083906,1.6494129933475896
abreubo01,1999,2,152,546,118,183,35,11,20,93.0,27.0,9.0,109,113.0,8.0,3.0,0.0,4.0,13.0,0.33516483516483514,0.44561933534743203,0.5494505494505495,False,False,2000,PHI,2933333,6.4673613680788575,-0.3861660429179947,0.41099255712143135
abreubo01,2000,3,154,576,103,182,42,10,25,79.0,28.0,8.0,100,116.0,9.0,1.0,0.0,3.0,12.0,0.3159722222222222,0.4161764705882353,0.5538194444444444,True,False,2001,PHI,4983000,6.697490887171057,-0.023183618997136612,0.9480175582816768
abreubo01,2001,4,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0,0.2891156462585034,0.3934659090909091,0.5425170068027211,True,False,2002,PHI,6333333,6.801632323375562,-0.14580151081111303,0.7148229528589742
abreubo01,2002,5,157,572,102,176,50,6,20,85.0,31.0,12.0,104,117.0,9.0,3.0,0.0,6.0,11.0,0.3076923076923077,0.4131386861313869,0.5209790209790209,True,False,2003,PHI,9100000,6.959041392321094,-0.297987337598288,0.5035152891952793
abreubo01,2003,6,158,577,99,173,35,1,20,101.0,22.0,9.0,109,126.0,13.0,2.0,0.0,7.0,13.0,0.29982668977469673,0.40863309352517985,0.4679376083188908,False,True,2004,PHI,10600000,7.02530586526477,-0.3108148435616922,0.4888607350507432
abreubo01,2004,7,159,574,118,173,47,1,30,105.0,40.0,5.0,127,116.0,10.0,5.0,0.0,7.0,5.0,0.30139372822299654,0.4277699859747546,0.5435540069686411,False,True,2005,PHI,13100000,7.117271295655764,-0.1333871339342192,0.7355511284020765
abreubo01,2005,8,162,588,104,168,37,1,24,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0,0.2857142857142857,0.4047287899860918,0.4744897959183674,False,True,2006,PHI,13600000,7.133538908370218,-0.30176429187199094,0.49915532453000805
abreubo01,2006,9,156,548,98,163,41,2,15,107.0,30.0,6.0,124,138.0,6.0,3.0,2.0,9.0,13.0,0.29744525547445255,0.4239766081871345,0.46167883211678834,False,True,2007,NYA,15000000,7.176091259055681,-0.3446350726696874,0.4522357877490579
abreubo01,2007,10,158,605,123,171,40,5,16,101.0,25.0,8.0,84,115.0,0.0,3.0,0.0,7.0,11.0,0.28264462809917357,0.36909871244635195,0.4446280991735537,False,True,2008,NYA,16000000,7.204119982655925,-0.4742633880677998,0.3355340600289325
abreubo01,2008,11,156,609,100,180,39,4,20,100.0,22.0,11.0,73,109.0,2.0,1.0,0.0,1.0,14.0,0.2955665024630542,0.3713450292397661,0.47126436781609193,False,True,2009,LAA,5000000,6.698970004336019,-0.018776139382513435,0.9576875919356946
abreubo01,2009,12,152,563,96,165,29,3,15,103.0,30.0,8.0,94,113.0,7.0,1.0,0.0,9.0,15.0,0.29307282415630553,0.38980509745127434,0.4351687388987567,False,True,2010,LAA,9000000,6.954242509439325,-0.26293347356047736,0.5458414682053921
abreubo01,2010,13,154,573,88,146,41,1,20,78.0,24.0,10.0,87,132.0,3.0,2.0,0.0,5.0,13.0,0.2547993019197208,0.3523238380809595,0.43455497382198954,False,True,2011,LAA,9000000,6.954242509439325,-0.19320724973228653,0.6409036578702901
abreubo01,2011,14,142,502,54,127,30,1,8,60.0,21.0,5.0,78,113.0,5.0,1.0,1.0,3.0,8.0,0.25298804780876494,0.3527397260273973,0.3645418326693227,False,True,2012,LAA,9000000,6.954242509439325,-0.3535060481785024,0.4430920437490613
abreujo02,2014,0,145,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,0.31654676258992803,0.38263665594855306,0.5809352517985612,False,False,2015,CHA,8666000,6.937818684698356,-0.5836995394320263,0.2607957204755799
abreujo02,2015,1,154,613,88,178,34,3,30,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,0.2903752039151713,0.3473053892215569,0.5024469820554649,False,False,2016,CHA,11666667,7.066946802039027,-0.6609493060089147,0.21829847107261655
abreuto01,2007,0,59,166,19,45,14,1,2,17.0,0.0,0.0,7,21.0,1.0,3.0,0.0,2.0,5.0,0.2710843373493976,0.3089887640449438,0.4036144578313253,False,False,2008,LAN,393000,5.594392550375427,-0.09291441980442894,0.8073941161726021
abreuto01,2013,2,53,138,21,37,12,3,2,14.0,0.0,2.0,6,33.0,1.0,1.0,1.0,1.0,5.0,0.26811594202898553,0.3013698630136986,0.4420289855072464,False,False,2014,SFN,745000,5.872156272748293,-0.40069102657260647,0.3974742270171278
ackledu01,2011,0,90,333,39,91,16,7,6,36.0,6.0,0.0,40,79.0,1.0,0.0,0.0,3.0,3.0,0.2732732732732733,0.3484042553191489,0.4174174174174174,False,False,2012,SEA,2100000,6.3222192947339195,-0.6248284504388879,0.23723106009990247
ackledu01,2012,1,153,607,84,137,22,2,12,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,0.2257001647446458,0.2938530734632684,0.32784184514003295,False,False,2013,SEA,2700000,6.431363764158987,-0.5490384319044948,0.28246300046341566
ackledu01,2013,2,113,384,40,97,18,2,4,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,0.2526041666666667,0.3191489361702128,0.3411458333333333,False,False,2014,SEA,1700000,6.230448921378274,-0.6305929715522769,0.2341030265678789
ackledu01,2014,3,143,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,0.2450199203187251,0.29313543599257885,0.398406374501992,True,False,2015,SEA,2600000,6.414973347970818,-0.1635378867802606,0.6862180118320714
ackledu01,2015,4,85,186,22,40,8,1,6,19.0,2.0,2.0,14,38.0,0.0,1.0,3.0,3.0,3.0,0.21505376344086022,0.2696078431372549,0.3655913978494624,True,False,2016,NYA,3200000,6.505149978319906,-0.6313176317388773,0.23371272990415126
